"id","numberOfProtesters","levelOfDisruption.BusinessDamaging","levelOfDisruption.PublicEveryday","levelOfDisruption.GovernmentOrAuthority","levelOfDisruption.CultureOrSport","levelOfDisruption.PrivateJets","issueBundling","nature.Blockade","nature.Attached","nature.AlteratVandal","nature.Interrupting","portrayal","numberOfProtesters_imputed","acceptance","perceived_disruption","ordinary","ordinary_imputed","words.general_disruption","words.protester_messaging","words.negative_comments"
"BBC_2023-10-10_Radcliffe-Camera-in-Oxford.html",2,1,2.5,1,3,1,1,0,0,1,0,2.5,FALSE,1.78571428571429,2.71428571428571,3.35714285714286,FALSE,5.4971682252932,4.07753744390572,4.53259949315326
"BBC_2023-10-11_Paint-sprayed-on-Falmouth.html",2.5,1,2,1,3,1,1,0,0,1,0,3,FALSE,1.71428571428571,2.85714285714286,3.01496336996337,TRUE,5.75890177387728,2.89037175789616,0
"BBC_2023-10-12_Just-Stop-Oil-protesters.html",2,1,4,1,1,1,1,0,1,0,0,2.5,FALSE,1.92857142857143,4.21428571428571,3.78571428571429,FALSE,5.79909265446053,0,4.63472898822964
"BBC_2023-10-13_Just-Stop-Oil-spraypaint.html",2,1,1,1,3,1,1,0,0,1,0,3,FALSE,1.46153846153846,3.53846153846154,2.84615384615385,FALSE,5.95583736946483,2.484906649788,4.79579054559674
"BBC_2023-10-25_Bristol-grandma-climbed-M25.html",4,1,3.5,1,1,1,1,0,1,0,0,3.5,FALSE,1.64285714285714,4.35714285714286,3.21428571428571,FALSE,5.36597601502185,5.02388052084628,2.77258872223978
"BBC_2023-12-18_Extinction-Rebellion-cofounder-Gail.html",4.5,1,2,2.5,1,1,1,0,0,1,0,3,FALSE,2.2,2.86666666666667,2.8,FALSE,5.47646355193151,4.70048036579242,3.09104245335832
"BBC_2024-02-26_Climate-protesters-guilty-of.html",2,1,2,1,3,1,1,0,0,1,1,3,FALSE,2.26666666666667,2.53333333333333,3.66666666666667,FALSE,5.5834963087817,0,3.40119738166216
"BBC_2024-04-06_Greta-Thunberg-Activist-arrested.html",7,1,2,1,1,1,1,1,0,0,0,3,FALSE,2.13333333333333,3.73333333333333,2.6,FALSE,6.00881318544259,4.63472898822964,0
"BBC_2024-04-18_GP-could-be-struck.html",3,2,1,1,1,1,1,0,0,0,0,3,FALSE,3.35714285714286,2.21428571428571,3.57142857142857,FALSE,0,5.40717177146012,0
"BBC_2024-04-26_MP-hits-out-at.html",3,1,1,2.5,1,1,1,0,0,1,0,2,FALSE,2.5,2.35714285714286,3.21428571428571,FALSE,5.4380793089232,4.71849887129509,4.52178857704904
"BBC_2024-05-10_Just-Stop-Oil-pair.html",2,1,2,1,3,1,1,0,1,1,1,3,FALSE,1.85714285714286,3.21428571428571,3.21428571428571,FALSE,5.4553211153577,4.59511985013459,4.26267987704132
"BBC_2024-06-19_Stonehenge-covered-in-powder.html",2,1,1.5,1,3,1,1,0,0,1,0,3,FALSE,1.71428571428571,2.57142857142857,3.28571428571429,FALSE,5.6937321388027,4.0943445622221,4.46590811865458
"BBC_2024-06-21_Two-women-charged-after.html",2.5,2,1,1,1,3,1,0,0,1,0,2.5,FALSE,2.06666666666667,2.46666666666667,2.8,FALSE,5.35658627467201,0,0
"BBC_2024-06-29_Third-arrest-after-Stonehenge.html",2,1,1,1,3,1,1,0,0,1,0,3,FALSE,1.57142857142857,2.78571428571429,3.21428571428571,FALSE,5.46806014113513,3.3322045101752,0
"BBC_2024-07-18_Two-men-face-trial.html",2,1,1,1,3,1,1,0,0,1,0,2.5,FALSE,1.71428571428571,2.71428571428571,3.57142857142857,FALSE,5.2040066870768,0,0
"BBC_2024-07-22_Just-Stop-Oil-activists.html",2,2,1,1,1,3,1,0,0,1,0,2.5,FALSE,1.57142857142857,2.85714285714286,3.5,FALSE,5.48893772615669,0,0
"BBC_2024-07-24_Ten-Just-Stop-Oil.html",3,1,1,1,1,1,1,0,0,0,0,3,FALSE,2.33333333333333,2.26666666666667,2.93333333333333,FALSE,5.51342874616498,4.02535169073515,3.78418963391826
"BBC_2024-07-26_Ten-climate-activists-charged.html",4.5,1,1,1,1,1,1,0,0,0,0,3,FALSE,2,3.86666666666667,3.4,FALSE,5.2040066870768,3.36729582998647,0
"BBC_2024-08-01_Just-Stop-Oil-activists.html",4,1,4.5,1,1,1,1,0,1,0,0,3,FALSE,1.57142857142857,4.21428571428571,3.57142857142857,FALSE,5.36129216570943,4.21950770517611,4.52178857704904
"BBC_2024-08-05_Just-Stop-Oil-protesters.html",3,1,1,1,1,1,1,0,0,0,0,3,FALSE,2,3.33333333333333,2.86666666666667,FALSE,4.94875989037817,3.76120011569356,4.38202663467388
"BBC_2024-08-15_Activists-plead-not-guilty.html",2,2,1,1,1,3,1,0,0,1,0,3,FALSE,2,2.71428571428571,2.57142857142857,FALSE,4.77068462446567,0,0
"BBC_2024-09-04_Antiwhaling-activist-Paul-Watson.html",3.34020618556701,3.5,1,1,1,1,1,0,0,1,0,3,TRUE,3.21428571428571,2.21428571428571,2.85714285714286,FALSE,4.18965474202643,4.0943445622221,0
"BBC_2024-09-20_Judge-throws-out-Sunak.html",3,1,1,2,1,1,1,0,1,0,0,3,FALSE,2.5,2.07142857142857,3.42857142857143,FALSE,5.4249500174814,1.38629436111989,0
"BBC_2024-09-27_Activists-jailed-for-throwing.html",2,1,1,1,3,1,1,0,1,1,0,3,FALSE,1.28571428571429,3.14285714285714,2.71428571428571,FALSE,5.28320372873799,3.61091791264422,4.36944785246702
"BBC_2024-09-27_Activists-throw-soup-on.html",2.5,1,1.5,1,3,1,1,0,1,1,0,3,FALSE,1.61538461538462,2.92307692307692,2.92307692307692,FALSE,5.19849703126583,4.95582705760126,2.39789527279837
"BBC_2024-12-17_Climate-groups-to-back.html",5,1,5,1,1,1,1,0,1,0,0,4,FALSE,1.57142857142857,4.5,2.5,FALSE,5.62401750618734,0,0
"BBC_2025-01-29_Just-Stop-Oil-pair.html",2,1,2,1,2,1,1,0,0,0,1,3,FALSE,1.6,2.53333333333333,3.06666666666667,FALSE,5.28320372873799,1.94591014905531,1.6094379124341
"BBC_2025-02-02_Protesters-block-airport-over.html",5,2,2,1,1,1.5,1,1,0,0,0,3.5,FALSE,3.76923076923077,2.53846153846154,3.92307692307692,FALSE,4.89034912822175,4.91998092582813,0
"BBC_2025-04-26_Anger-flares-at-Just.html",7,1,3,1,1,1,1,1,0,0,0,3,FALSE,2.78571428571429,3.14285714285714,2.78571428571429,FALSE,5.68357976733868,4.14313472639153,4.12713438504509
"BBC_2025-07-25_Forth-Road-Bridge-closed.html",4,3,2,1,1,1,1,1,1,0,0,3,FALSE,2.2,3.6,3.46666666666667,FALSE,5.47227067367148,5.20948615284142,4.04305126783455
"BBC_2025-09-22_Arrests-after-gas-protesters.html",3,2,1,1,1,1,2,0,1,0,0,3,FALSE,2.6,2.26666666666667,2.6,FALSE,5.00394630594546,2.56494935746154,0
"BBC_None_More-arrests-after-protest.html",3,2,1,1,1,1,2,0,1,0,0,3,FALSE,2.69230769230769,2.30769230769231,3.38461538461538,FALSE,5.04342511691925,4.59511985013459,0
"Daily-Mail_2023-10-17_Greta-Thunberg-20.html",4,3,2,2.5,1,1,1,1,0,0,1,3,FALSE,2.92857142857143,2.64285714285714,2.57142857142857,FALSE,5.99146454710798,5.03043792139244,0
"Daily-Mail_2023-11-15_Grinning-Greta-Thunberg.html",4,3,2,3,1,1,1,1,1,0,1,3,FALSE,2.78571428571429,2.5,2.42857142857143,FALSE,5.27299955856375,3.17805383034795,3.97029191355212
"Daily-Mail_2023-12-11_Just-Stop-Oil.html",5,1,3,1,1,1,1,1,0,0,0,3,FALSE,2.86666666666667,3.26666666666667,3.73333333333333,FALSE,5.77765232322266,4.4188406077966,4.20469261939097
"Daily-Mail_2024-02-13_Climate-activists-target.html",2,1,2,1,3,1,1,0,0,1,0,2.5,FALSE,2.4,2.4,3.53333333333333,FALSE,5.18738580584075,5.62040086571715,4.70048036579242
"Daily-Mail_2024-02-14_BBCs-Chris-Packham.html",1,1,3.5,1,1,1,1,0,1,0,0,4,FALSE,1.4,4.53333333333333,3.06666666666667,FALSE,5.09375020080676,4.56434819146784,0
"Daily-Mail_2024-03-14_Just-Stop-Oils.html",2,1,1,2,1,1,1,0,0,0,0,2,FALSE,2.73333333333333,1.73333333333333,1.73333333333333,FALSE,5.78689738136671,4.06044301054642,0
"Daily-Mail_2024-03-15_Moment-Sopranos-star.html",2,1,2,1,2.5,1,1,0,0,0,1,4,FALSE,2.28571428571429,3,3.07142857142857,FALSE,5.74620319054015,4.62497281328427,3.04452243772342
"Daily-Mail_2024-04-05_Extinction-Rebellion-cofounder.html",3,1,1,1,1,1,1,0,0,0,0,3,FALSE,1.53846153846154,3.30769230769231,3.61538461538462,FALSE,6.07534603108868,4.0943445622221,2.94443897916644
"Daily-Mail_2024-04-06_Greta-Thunberg-is.html",7,1,2,1,1,1,1,1,0,0,0,3,FALSE,2.92857142857143,3.21428571428571,2.57142857142857,FALSE,6.13556489108174,4.43081679884331,0
"Daily-Mail_2024-06-20_Is-nothing-sacred.html",2,1,1,1,3,1,1,0,0,1,0,2,FALSE,1.4,3.4,2.46666666666667,FALSE,4.90527477843843,4.74493212836325,4.81218435537242
"Daily-Mail_2024-06-23_Climate-change-protestors.html",3,1,1.5,1,2.5,1,1,0,0,1,1,3,FALSE,2.23076923076923,3,2.38461538461538,FALSE,5.95842469302978,4.84418708645859,0
"Daily-Mail_2024-07-06_Greta-Thunberg-is.html",5,1,3,1,1,1,1,1,0,0,0,3,FALSE,2.5,3.78571428571429,2.64285714285714,FALSE,5.75574221358691,4.40671924726425,0
"Daily-Mail_2024-07-23_Celebrities-including-Coldplays.html",4.5,1,5,1,1,1,1,1,0,0,0,3.5,FALSE,1.92857142857143,4.5,3.14285714285714,FALSE,4.9416424226093,0,3.93182563272433
"ITV_2024-06-22_Just-Stop-Oil.html",2,2.5,3.5,1,1,3,1,0,0,1,0,3,FALSE,1.42857142857143,3.85714285714286,2.14285714285714,FALSE,5.80814248998044,0,0
"ITV_2024-07-10_Just-Stop-Oil.html",2,1,2,1,3,1,1,0,0,1,1,4,FALSE,1.78571428571429,3.35714285714286,2.85714285714286,FALSE,5.25227342804663,4.83628190695148,3.68887945411394
"ITV_2024-09-30_Three-Just-Stop.html",2,1,1,1,3,1,1,0,0,1,0,3,FALSE,1.57142857142857,2.92857142857143,3.07142857142857,FALSE,6.05208916892442,3.04452243772342,3.40119738166216
"Metro_None_Four-arrested-after-protester.html",3,1,1,2,1,1,4,0,0,1,0,3,FALSE,1.66666666666667,1.93333333333333,2.66666666666667,FALSE,5.36597601502185,5.2040066870768,0
"Metro_None_Judge-puts-Just-Stop.html",3,1,3,1,4.5,1,1,0,1,0,1,2.5,FALSE,1.6,4.06666666666667,2.66666666666667,FALSE,5.74939298590825,3.09104245335832,3.87120101090789
"Metro_None_Just-Stop-Oil-activists.html",3,1,2.5,1,3.5,1,1,0,1,0,1,4,FALSE,1.76923076923077,3.07692307692308,3,FALSE,5.4510384535657,5.32300997913841,2.77258872223978
"Metro_None_Just-Stop-Oil-cover.html",2,2,1,1,1,2.5,1,0,0,1,0,3.5,FALSE,2.76923076923077,2.38461538461538,3.61538461538462,FALSE,5.4249500174814,5.22035582507833,0
"Metro_None_Stonehenge-damaged-after-being.html",2,1,1.5,1,3,1,1,0,0,1,0,2,FALSE,1.76923076923077,2.53846153846154,3.23076923076923,FALSE,5.77144112313002,4.64439089914137,4.33073334028633
"Metro_None_Three-JSO-protesters-charged.html",2,1,2,1,3,1,1,0,0,1,0,3.5,FALSE,1.57142857142857,2.85714285714286,2.71428571428571,FALSE,6.26149168432104,4.68213122712422,3.25809653802148
"Mirror_2024-04-20_Thousands-of-summer-holidays.html",7,4.5,4,1,1,1,1,0,1,0,0,2.5,FALSE,1.64285714285714,4.42857142857143,2.07142857142857,FALSE,5.46383180502561,4.88280192258637,4.31748811353631
"Mirror_2024-06-20_Just-Stop-Oil-protestors.html",2,2,1,1,1,2.5,1,0,0,1,0,3,FALSE,1.73333333333333,3,2.33333333333333,FALSE,5.75574221358691,5.46383180502561,0
"Mirror_2024-06-20_Stonehenge-Just-Stop-Oil.html",2,1,1.5,1,3,1,1,0,0,1,0,3,FALSE,1.71428571428571,2.78571428571429,2.92857142857143,FALSE,5.61312810638807,3.78418963391826,3.95124371858143
"Mirror_2024-07-30_Just-Stop-Oil-activists.html",2,3,2,1,1,1,1,0,0,1,0,3.5,FALSE,1.6,2.66666666666667,2.8,FALSE,5.38449506278909,5.02388052084628,4.21950770517611
"Mirror_2024-09-27_Just-Stop-Oil-protestors.html",2,1,2,1,3,1,1,0,0,1,0,3,FALSE,1.42857142857143,3.28571428571429,2.64285714285714,FALSE,5.48479693349065,4.44265125649032,0
"Sky_2023-10-25_Three-arrests-after.html",2,1,1,1,3,1,1,0,0,1,0,3,FALSE,1.93333333333333,3,3.06666666666667,FALSE,4.97673374242057,4.93447393313069,0
"Sky_2023-12-15_Just-Stop-Oil.html",5,1,2.5,1.5,1,1,1,1,0,0,0,3.5,FALSE,2.46666666666667,3.2,3.86666666666667,FALSE,5.51342874616498,2.77258872223978,0
"Sky_2024-01-28_Protesters-throw-soup.html",2,1,2,1,3,1,2.5,0,0,1,0,3,FALSE,1.78571428571429,2.92857142857143,3.21428571428571,FALSE,6.0282785202307,4.11087386417331,0
"Sky_2024-06-24_Extinction-Rebellion-climate.html",3,1,2,1,3,1,1,0,0,1,1,2,FALSE,2.71428571428571,3.07142857142857,2.21428571428571,FALSE,5.62401750618734,3.68887945411394,4.9416424226093
"Sky_2024-06-29_Third-person-arrested.html",2,1,1.5,1,3,1,1,0,0,1,0,3,FALSE,1.69230769230769,2.84615384615385,3.07692307692308,FALSE,5.4510384535657,3.46573590279973,0
"Sky_2024-07-25_Just-Stop-Oil.html",2,1,1,1,3,1,1,0,1,1,0,3,FALSE,1.35714285714286,3.14285714285714,3,FALSE,5.79909265446053,3.85014760171006,0
"Sky_2024-07-25_Over-100-flights.html",3,4,4,1,1,1,1,1,1,0,0,2.5,FALSE,1.64285714285714,4.28571428571429,3,FALSE,5.76519110278484,3.52636052461616,4.07753744390572
"Sky_2024-07-29_Eight-Just-Stop.html",3,2,2,1,1,1,1,1,1,0,0,4,FALSE,2.85714285714286,2.42857142857143,3.5,FALSE,5.67675380226828,4.57471097850338,0
"Sky_2024-09-20_Judge-throws-out.html",3,1,1,3,1,1,1,0,1,1,0,3,FALSE,2.07692307692308,2.53846153846154,3.15384615384615,FALSE,5.89164421182577,4.23410650459726,0
"Sky_2025-01-13_Just-Stop-Oil-protesters.html",2,1,1,1,3,1,1,0,0,1,0,4,FALSE,2.38461538461538,2.61538461538462,3.69230769230769,FALSE,5.59471137960184,4.70953020131233,0
"Sun_2023-10-17_PROTEST-ARREST-Ecowarrior-Greta.html",5,3,2,3,1,1,1,1,1,0,1,1,FALSE,2.92857142857143,3,2.92857142857143,FALSE,5.86929691313377,2.484906649788,0
"Sun_2024-06-08_ECO-WAR-We-were.html",4,3,1,1,1,1,1,0,1,0,0,3,FALSE,3,3.15384615384615,3.38461538461538,FALSE,5.54126354515843,4.12713438504509,0
"Sun_2024-07-19_JUST-APPALLING-I-went.html",5,1,5,1,1,1,1,0,1,0,0,1,FALSE,1.35714285714286,4.64285714285714,2.42857142857143,FALSE,6.00881318544259,4.46590811865458,3.29583686600433
"Sun_2024-08-15_ROYAL-TARGET-Eco-idiots.html",3.34020618556701,1,3,1,3,1,1,1,0,0,0,1,TRUE,1.93333333333333,3.13333333333333,2.93333333333333,FALSE,5.78382518232974,4.94875989037817,5.13579843705026
"Sun_2024-08-29_SUPER-FORTRESS-Stay-away.html",3.34020618556701,1,2,1,3.5,1,1,1,0,0,0,1,TRUE,2.2,3.06666666666667,2.66666666666667,FALSE,5.96100533962327,4.74493212836325,2.07944154167984
"Sun_2024-09-27_ART-VANDALS-Moment-Just.html",3,1,1,1,3,1,1,0,1,1,0,1,FALSE,1.21428571428571,2.85714285714286,2.28571428571429,FALSE,5.87211778947542,0,4.85203026391962
"Telegraph_2024-02-01_Greta-Thunberg-was-given.html",5,3,1,3,1,1,1,1,1,0,0,3,FALSE,3.21428571428571,2.78571428571429,2.71428571428571,FALSE,5.65599181081985,4.18965474202643,0
"Telegraph_2024-05-14_Just-Stop-Oil-protester.html",1,1,1,2,1,1,1,0,0,1,0,4,FALSE,3.2,1.93333333333333,4.2,FALSE,5.31320597904179,3.93182563272433,0
"Telegraph_2024-09-26_Just-Stop-Oil-soup.html",2,1,1,1,3,1,1,0,0,1,0,5,FALSE,2,2.8,2.6,FALSE,4.86753445045558,3.76120011569356,2.89037175789616
"Telegraph_2024-09-27_Just-Stop-Oil-protesters.html",2,1,1,1,3.5,1,3.5,0,0,1,0,3,FALSE,1.35714285714286,2.85714285714286,2.42857142857143,FALSE,5.53733426701854,4.78749174278205,3.91202300542815
"Telegraph_2024-09-29_Activists-throw-soup-on.html",4.5,2.5,3,2,4,1,1,0,1,1,0,3,FALSE,1.78571428571429,3.5,3,FALSE,5.60947179518496,3.76120011569356,0
"Telegraph_2025-03-20_Greenpeace-hit-with-660m.html",6,4,1,1,1,1,1,1,0,0,0,3,FALSE,2.78571428571429,3.28571428571429,3.01496336996337,TRUE,5.65248918026865,2.63905732961526,4.0943445622221
"The-Guardian_2023-12-02_Deep-sea-miners.html",4,2,1,1,1,1,1,1,0,0,0,3,FALSE,3.23076923076923,2.69230769230769,3.15384615384615,FALSE,5.4971682252932,3.71357206670431,0
"The-Guardian_2023-12-04_Police-make-630.html",7,1,3,1,1,1,1,1,0,0,0,4,FALSE,2.64285714285714,3.35714285714286,3.21428571428571,FALSE,5.62401750618734,4.00733318523247,3.85014760171006
"The-Guardian_2023-12-15_Just-Stop-Oil.html",5,1,2.5,1,1,1,1,1,0,0,0,4,FALSE,2.61538461538462,3.30769230769231,3.23076923076923,FALSE,5.20948615284142,4.66343909411207,4.34380542185368
"The-Guardian_2024-01-26_Geldof-and-Colman.html",1,1,3,1,1,1,1,0,1,0,0,4,FALSE,2.93333333333333,2.6,2.93333333333333,FALSE,4.48863636973214,3.76120011569356,0
"The-Guardian_2024-04-06_Greta-Thunberg-detained.html",7.5,1,4,1,1,1,1,1,0,0,0,3,FALSE,2.26666666666667,3.33333333333333,3.06666666666667,FALSE,5.70711026474888,4.17438726989564,0
"The-Guardian_2024-05-08_First-trial-of.html",5,1,2.5,1,1,1,1,1,0,0,0,3,FALSE,2.6,2.93333333333333,3.73333333333333,FALSE,5.02388052084628,4.33073334028633,3.36729582998647
"The-Guardian_2024-05-15_UK-climate-activists.html",3,1,3,1,1,1,1,1,0,0,0,3,FALSE,2.21428571428571,4.14285714285714,2.57142857142857,FALSE,5.5683445037611,4.89783979995091,4.21950770517611
"The-Guardian_2024-07-11_Just-Stop-Oil.html",4.5,1,5,1,1,1,1,0,1,0,0,3,FALSE,2.07142857142857,4.42857142857143,3.07142857142857,FALSE,5.62040086571715,3.3322045101752,0
"The-Guardian_2024-09-21_Retired-priest-speaks.html",2.5,1,1,1,2.5,1,1,0,0,1,0,3.5,FALSE,2.78571428571429,2.42857142857143,3,FALSE,4.76217393479776,3.87120101090789,4.35670882668959
"The-Guardian_2024-11-26_How-the-battle-of.html",7,1,1,4,1,1,1,1,1,0,0,3,FALSE,3.21428571428571,3.78571428571429,3.71428571428571,FALSE,5.98141421125448,3.40119738166216,0
"The-Guardian_2025-01-08_Charges-against-34-people.html",5,3,1,1,1,1,1,1,1,1,0,3,FALSE,2.78571428571429,2.71428571428571,2.5,FALSE,5.39362754635236,4.07753744390572,0
"The-Guardian_2025-08-20_Police-investigate-sabotage-claims.html",2.5,3,1,1,1,1,2.5,0,0,1,0,3,FALSE,1.78571428571429,3.5,2.92857142857143,FALSE,5.50533153593236,4.81218435537242,4.21950770517611
"The-Guardian_None_Nearly-175-arrested.html",7,4,1,1,1,1,1,1,0,1,0,3,FALSE,2.21428571428571,3.35714285714286,2.85714285714286,FALSE,5.65948221575962,3.71357206670431,0
"The-Times_2023-11-27_Climate-activists-glue-50.html",5,4,2,1,1,1,1,1,0,1,0,3,FALSE,2.13333333333333,3.46666666666667,3.06666666666667,FALSE,5.52942908751142,5.2040066870768,4.04305126783455
"The-Times_2024-02-16_As-the-air-goes.html",2,1,4,1,1,1,1,0,0,1,0,3,FALSE,1.42857142857143,4,2.42857142857143,FALSE,6.22653666928747,2.484906649788,3.93182563272433
"The-Times_2024-05-18_Arrested-in-our-80s.html",2,1,2,1,2,1,1,0,0,1,0,3.5,FALSE,2.66666666666667,2.06666666666667,3.73333333333333,FALSE,4.11087386417331,4.17438726989564,0
"The-Times_2024-06-02_Attacking-art-should-be.html",1.5,1,1.5,1,3,1,1.5,0,0,1,0,3,FALSE,2.28571428571429,2.85714285714286,3.14285714285714,FALSE,5.77765232322266,3.76120011569356,5.25749537202778
"The-Times_2024-07-19_Police-fear-Just-Stop.html",5,1,5,1,1,1,1,0,1,0,0,3,FALSE,1.8,4.46666666666667,3.6,FALSE,4.99043258677874,0,0
"The-Times_2024-07-27_Mum-got-four-years.html",5,1,5,1,1,1,1,0,1,0,0,3.5,FALSE,1.30769230769231,4.84615384615385,3,FALSE,5.82894561761021,4.49980967033027,2.89037175789616
